"","Method","Reduction","Type","Component","Accuracy","Sensitivity","Specificity","F1"
"1","knn","pca","cat","20","0.911764705882353","0.85","1","0.918918918918919"
"2","glm","pca","cat","20","0.911764705882353","1","0.785714285714286","0.930232558139535"
"3","rf","pca","cat","20","0.676470588235294","1","0.214285714285714","0.784313725490196"
"4","nb","pca","cat","20","0.882352941176471","0.9","0.857142857142857","0.9"
"5","lda","pca","cat","20","0.911764705882353","1","0.785714285714286","0.930232558139535"
"6","svmLinear","pca","cat","20","0.911764705882353","1","0.785714285714286","0.930232558139535"
"7","nnet","pca","cat","20","0.970588235294118","0.95","1","0.974358974358974"
"8","knn","pca","num","20","0.617647058823529","0.95","0.142857142857143","0.745098039215686"
"9","glm","pca","num","20","0.764705882352941","0.95","0.5","0.826086956521739"
"10","rf","pca","num","20","0.705882352941177","1","0.285714285714286","0.8"
"11","nb","pca","num","20","0.588235294117647","0.95","0.0714285714285714","0.730769230769231"
"12","lda","pca","num","20","0.823529411764706","1","0.571428571428571","0.869565217391304"
"13","svmLinear","pca","num","20","0.794117647058823","1","0.5","0.851063829787234"
"14","nnet","pca","num","20","0.882352941176471","0.8","1","0.888888888888889"
"15","knn","cor","cat","20","0.941176470588235","1","0.857142857142857","0.952380952380952"
"16","glm","cor","cat","20","0.882352941176471","0.95","0.785714285714286","0.904761904761905"
"17","rf","cor","cat","20","0.882352941176471","0.95","0.785714285714286","0.904761904761905"
"18","nb","cor","cat","20","0.941176470588235","1","0.857142857142857","0.952380952380952"
"19","lda","cor","cat","20","0.882352941176471","0.95","0.785714285714286","0.904761904761905"
"20","svmLinear","cor","cat","20","0.911764705882353","0.95","0.857142857142857","0.926829268292683"
"21","nnet","cor","cat","20","0.970588235294118","0.95","1","0.974358974358974"
"22","knn","cor","num","20","0.941176470588235","1","0.857142857142857","0.952380952380952"
"23","glm","cor","num","20","0.941176470588235","1","0.857142857142857","0.952380952380952"
"24","rf","cor","num","20","0.970588235294118","1","0.928571428571429","0.975609756097561"
"25","nb","cor","num","20","0.911764705882353","0.95","0.857142857142857","0.926829268292683"
"26","lda","cor","num","20","0.882352941176471","0.9","0.857142857142857","0.9"
"27","svmLinear","cor","num","20","0.970588235294118","1","0.928571428571429","0.975609756097561"
"28","nnet","cor","num","20","0.970588235294118","1","0.928571428571429","0.975609756097561"
